"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts","Net Sales","COGS","Profit","Segment_Processed","Country_Processed","Product_Processed","Discount Band_Processed","Units Sold_Processed","Manufacturing Price_Processed","Sale Price_Processed","Gross Sales_Processed","Discounts_Processed","Net Sales_Processed","COGS_Processed","Profit_Processed","Country_Cleaned","Segment_Cleaned","Product_Cleaned","Discount Band_Cleaned","Year","Month Number","Mounth Name","Discount_Percentage","Gross_Margin","Unit_Profit","NetSales_Check","Profit_Check","Data_Quality_Flag"
"Government","Mexico","Paseo","None",883,10,7,6181,0,6181,4415,1766,"government","mexico","paseo","none",883,10,7,6181,0,6181,4415,1766,"mexico","government","paseo","none",2014,8,"August",0,0.2857142857142857,2,6181,1766,"Price_Error"
"Government","United States of America","Paseo","None",1143,10,7,8001,0,8001,5715,2286,"government","united states of america","paseo","none",1143,10,7,8001,0,8001,5715,2286,"united states of america","government","paseo","none",2014,10,"October",0,0.2857142857142857,2,8001,2286,"Price_Error"
"Government","Mexico","Velo","None",1493,120,7,10451,0,10451,7465,2986,"government","mexico","velo","none",1493,120,7,10451,0,10451,7465,2986,"mexico","government","velo","none",2014,1,"January",0,0.2857142857142857,2,10451,2986,"Price_Error"
"Channel Partners","Germany","Velo","None",2161,120,12,25932,0,25932,6483,19449,"channel partners","germany","velo","none",2161,120,12,25932,0,25932,6483,19449,"germany","channel partners","velo","none",2014,3,"March",0,0.75,9,25932,19449,"Price_Error"
"Channel Partners","Germany","Velo","None",1545,120,12,18540,0,18540,4635,13905,"channel partners","germany","velo","none",1545,120,12,18540,0,18540,4635,13905,"germany","channel partners","velo","none",2014,6,"June",0,0.75,9,18540,13905,"Price_Error"
"Channel Partners","Germany","VTT","None",2838,250,12,34056,0,34056,8514,25542,"channel partners","germany","vtt","none",2838,250,12,34056,0,34056,8514,25542,"germany","channel partners","vtt","none",2014,4,"April",0,0.75,9,34056,25542,"Price_Error"
"Midmarket","France","VTT","None",2178,250,15,32670,0,32670,21780,10890,"midmarket","france","vtt","none",2178,250,15,32670,0,32670,21780,10890,"france","midmarket","vtt","none",2014,6,"June",0,0.3333333333333333,5,32670,10890,"Price_Error"
"Midmarket","Germany","VTT","None",888,250,15,13320,0,13320,8880,4440,"midmarket","germany","vtt","none",888,250,15,13320,0,13320,8880,4440,"germany","midmarket","vtt","none",2014,6,"June",0,0.3333333333333333,5,13320,4440,"Price_Error"
"Government","Canada","VTT","None",1817,250,20,36340,0,36340,18170,18170,"government","canada","vtt","none",1817,250,20,36340,0,36340,18170,18170,"canada","government","vtt","none",2014,12,"December",0,0.5,10,36340,18170,"Price_Error"
"Channel Partners","United States of America","Amarilla","None",1953,260,12,23436,0,23436,5859,17577,"channel partners","united states of america","amarilla","none",1953,260,12,23436,0,23436,5859,17577,"united states of america","channel partners","amarilla","none",2014,4,"April",0,0.75,9,23436,17577,"Price_Error"
"Enterprise","Germany","Amarilla","None",4219.5,260,125,527437.5,0,527437.5,506340,21097.5,"enterprise","germany","amarilla","none",4219.5,260,125,527437.5,0,527437.5,506340,21097.5,"germany","enterprise","amarilla","none",2014,4,"April",0,0.04,5,527437.5,21097.5,"Price_Error"
"Government","France","Amarilla","None",1899,260,20,37980,0,37980,18990,18990,"government","france","amarilla","none",1899,260,20,37980,0,37980,18990,18990,"france","government","amarilla","none",2014,6,"June",0,0.5,10,37980,18990,"Price_Error"
"Government","Germany","Amarilla","None",1686,260,7,11802,0,11802,8430,3372,"government","germany","amarilla","none",1686,260,7,11802,0,11802,8430,3372,"germany","government","amarilla","none",2014,7,"July",0,0.2857142857142857,2,11802,3372,"Price_Error"
"Channel Partners","United States of America","Amarilla","None",2141,260,12,25692,0,25692,6423,19269,"channel partners","united states of america","amarilla","none",2141,260,12,25692,0,25692,6423,19269,"united states of america","channel partners","amarilla","none",2014,8,"August",0,0.75,9,25692,19269,"Price_Error"
